Iteraciones,Energia_liberada,Energia_total
58900,0.000000,0.278407
59000,0.000000,0.285670
59100,0.000000,0.297727
59200,0.000000,0.262161
59300,0.000000,0.251556
59400,0.000000,0.258135
59500,0.000000,0.264677
59600,0.000000,0.252901
59700,0.000000,0.235864
59800,0.000000,0.217258
59900,0.000000,0.233106
60000,0.000000,0.219705
60100,0.000000,0.223308
60200,0.000000,0.244347
60300,0.000000,0.243005
60400,0.000000,0.252806
60500,0.000000,0.245229
60600,0.000000,0.254230
60700,0.000000,0.254237
60800,0.000000,0.248850
60900,0.000000,0.230606
61000,0.000000,0.238299
61100,0.000000,0.249944
61200,0.000000,0.257492
61300,0.000000,0.277080
61400,0.000000,0.253887
61500,0.000000,0.274487
61600,0.000000,0.292050
61700,0.000000,0.252416
61800,0.000000,0.252145
61900,0.000000,0.246146
62000,0.000000,0.235684
62100,0.000000,0.249621
62200,0.000000,0.257899
62300,0.000000,0.257293
62400,0.000000,0.268165
62500,0.000000,0.267109
62600,0.000000,0.266720
62700,0.000000,0.241366
62800,0.000000,0.248270
62900,0.000000,0.245441
63000,0.000000,0.249315
63100,0.000000,0.236292
63200,0.000000,0.225438
63300,0.000000,0.248860
63400,0.000000,0.252286
63500,0.000000,0.282762
63600,0.000000,0.263096
63700,0.000000,0.249418
63800,0.000000,0.270886
63900,0.000000,0.263079
64000,0.000000,0.232372
64100,0.000000,0.257080
64200,0.000000,0.271925
64300,0.000000,0.272649
64400,0.000000,0.271984
64500,0.000000,0.257339
64600,0.000000,0.278550
64700,0.000000,0.275285
64800,0.000000,0.276527
64900,0.000000,0.274727
65000,0.000000,0.232582
65100,0.000000,0.256853
65200,0.000000,0.257432
65300,0.000000,0.270648
65400,0.000000,0.287515
65500,0.000000,0.269092
65600,0.000000,0.269198
65700,0.000000,0.246214
65800,0.000000,0.259903
65900,0.000000,0.271705
66000,0.000000,0.279719
66100,0.000000,0.248027
66200,0.000000,0.246934
66300,0.000000,0.263470
66400,0.000000,0.248328
66500,0.000000,0.261360
66600,0.000000,0.261798
66700,0.000000,0.258621
66800,0.000000,0.229752
66900,0.000000,0.253420
67000,0.000000,0.252537
67100,0.000000,0.253494
67200,0.000000,0.261925
67300,0.000000,0.273241
67400,0.000000,0.281320
67500,0.000000,0.218557
67600,0.000000,0.241882
67700,0.000000,0.250646
67800,0.000000,0.247992
67900,0.000000,0.232155
68000,0.000000,0.255779
68100,0.000000,0.212799
68200,0.000000,0.199309
68300,0.000000,0.225436
68400,0.000000,0.275275
68500,0.000000,0.272495
68600,0.000000,0.273711
68700,0.000000,0.256185
68800,0.000000,0.262856
68900,0.000000,0.276756
69000,0.000000,0.267081
69100,0.000000,0.249438
69200,0.000000,0.278385
69300,0.000000,0.307962
69400,0.000000,0.279329
69500,0.000000,0.249099
69600,0.000000,0.224589
69700,0.000000,0.232131
69800,0.000000,0.262086
69900,0.000000,0.255045
70000,0.000000,0.260583
70100,0.000000,0.253723
70200,0.000000,0.262114
70300,0.000000,0.254833
70400,0.000000,0.255160
70500,0.000000,0.274481
70600,0.000000,0.303986
70700,0.000000,0.290013
70800,0.000000,0.291903
70900,0.000000,0.277717
71000,0.000000,0.281054
71100,0.000000,0.296744
71200,0.000000,0.280883
71300,0.000000,0.287213
71400,0.000000,0.301961
71500,0.000000,0.267519
71600,0.000000,0.275244
71700,0.000000,0.280968
71800,0.000000,0.253189
71900,0.000000,0.228724
72000,0.000000,0.252888
72100,0.000000,0.251750
72200,0.000000,0.270648
72300,0.000000,0.291032
72400,0.000000,0.278217
72500,0.000000,0.245297
72600,0.000000,0.225677
72700,0.000000,0.237398
72800,0.000000,0.227589
72900,0.000000,0.278066
73000,0.000000,0.256363
73100,0.000000,0.240073
73200,0.000000,0.245384
73300,0.000000,0.258924
73400,0.000000,0.273956
73500,0.000000,0.275824
73600,0.000000,0.288977
73700,0.000000,0.271000
73800,0.000000,0.258913
73900,0.000000,0.212898
74000,0.000000,0.221696
74100,0.000000,0.225934
74200,0.000000,0.273246
74300,0.000000,0.254939
74400,0.000000,0.262646
74500,0.000000,0.271504
74600,0.000000,0.266669
74700,0.000000,0.264792
74800,0.000000,0.244551
74900,0.000000,0.261137
75000,0.000000,0.251307
75100,0.000000,0.284482
75200,0.000000,0.279542
75300,0.000000,0.262992
75400,0.000000,0.242715
75500,0.000000,0.267942
75600,0.000000,0.260997
75700,0.000000,0.270003
75800,0.000000,0.273316
75900,0.000000,0.277746
76000,0.000000,0.236931
76100,0.000000,0.231187
76200,0.000000,0.258028
76300,0.000000,0.248072
76400,0.000000,0.244854
76500,0.000000,0.256167
76600,0.000000,0.260305
